Zeit;Kanal A
(ms);(mV)

-23,98944352;0,55794780
-23,98444352;0,55794780
-23,97944352;0,18577760
-23,97444352;0,93073320
-23,96944352;1,11651100
-23,96444352;0,55794780
-23,95944352;0,74434050
-23,95444352;0,93073320
-23,94944352;1,86146600
-23,94444352;0,93073320
-23,93944352;0,18577760
-23,93444352;0,74434050
-23,92944352;0,93073320
-23,92444352;-0,18577760
-23,91944352;0,37217020
-23,91444352;-0,18577760
-23,90944352;-0,55794780
-23,90444352;-0,74434050
-23,89944352;-0,93073320
-23,89444352;-1,30290300
-23,88944352;-1,48868100
-23,88444352;-1,67507400
-23,87944352;-1,67507400
-23,87444352;-1,67507400
-23,86944352;-1,11651100
-23,86444353;-0,93073320
-23,85944353;-1,11651100
-23,85444353;-0,74434050
-23,84944353;0,18577760
-23,84444353;0,00000000
-23,83944353;0,55794780
-23,83444353;0,00000000
-23,82944353;0,00000000
-23,82444353;0,18577760
-23,81944353;-0,55794780
-23,81444353;-1,67507400
-23,80944353;-2,60580700
-23,80444353;-2,97797700
-23,79944353;-4,46727300
-23,79444353;-6,14296200
-23,78944353;-6,32874000
-23,78444353;-7,63164300
-23,77944353;-7,81803600
-23,77444353;-7,81803600
-23,76944353;-8,56299200
-23,76444353;-8,00442800
-23,75944353;-7,25947300
-23,75444353;-6,70091000
-23,74944353;-5,02583600
-23,74444353;-3,72293300
-23,73944353;-2,23363700
-23,73444353;-1,67507400
-23,72944353;0,37217020
-23,72444353;-0,18577760
-23,71944353;0,18577760
-23,71444353;0,18577760
-23,70944353;0,93073320
-23,70444353;0,37217020
-23,69944353;-0,18577760
-23,69444353;-1,11651100
-23,68944353;-1,86146600
-23,68444353;-2,60580700
-23,67944353;-2,79220000
-23,67444353;-2,97797700
-23,66944353;-2,79220000
-23,66444353;-2,41941400
-23,65944353;-1,67507400
-23,65444353;-0,55794780
-23,64944353;0,18577760
-23,64444353;0,93073320
-23,63944353;2,60580700
-23,63444353;3,35014700
-23,62944353;4,28149600
-23,62444353;4,46727300
-23,61944353;4,65366600
-23,61444353;4,46727300
-23,60944353;4,09510300
-23,60444353;3,72293300
-23,59944353;2,41941400
-23,59444353;1,48868100
-23,58944353;0,55794780
-23,58444353;-0,74434050
-23,57944353;-2,23363700
-23,57444353;-3,53654000
-23,56944353;-3,90871000
-23,56444353;-4,46727300
-23,55944353;-4,83944400
-23,55444353;-4,83944400
-23,54944353;-5,02583600
-23,54444353;-5,58439900
-23,53944353;-4,46727300
-23,53444353;-4,83944400
-23,52944353;-3,90871000
-23,52444353;-3,72293300
-23,51944353;-2,79220000
-23,51444353;-2,97797700
-23,50944353;-2,60580700
-23,50444353;-2,41941400
-23,49944353;-2,23363700
-23,49444353;-2,41941400
-23,48944353;-2,23363700
-23,48444353;-2,60580700
-23,47944353;-2,23363700
-23,47444353;-2,97797700
-23,46944354;-3,35014700
-23,46444354;-3,53654000
-23,45944354;-4,28149600
-23,45444354;-4,83944400
-23,44944354;-4,46727300
-23,44444354;-4,65366600
-23,43944354;-5,02583600
-23,43444354;-5,02583600
-23,42944354;-4,83944400
-23,42444354;-5,39800700
-23,41944354;-5,39800700
-23,41444354;-4,83944400
-23,40944354;-4,46727300
-23,40444354;-5,39800700
-23,39944354;-4,09510300
-23,39444354;-5,02583600
-23,38944354;-4,46727300
-23,38444354;-4,09510300
-23,37944354;-3,72293300
-23,37444354;-3,53654000
-23,36944354;-1,86146600
-23,36444354;-1,48868100
-23,35944354;-0,93073320
-23,35444354;0,18577760
-23,34944354;1,67507400
-23,34444354;1,30290300
-23,33944354;2,04724400
-23,33444354;3,35014700
-23,32944354;3,16437000
-23,32444354;2,79220000
-23,31944354;2,79220000
-23,31444354;2,41941400
-23,30944354;1,30290300
-23,30444354;0,37217020
-23,29944354;-0,37217020
-23,29444354;-1,67507400
-23,28944354;-2,60580700
-23,28444354;-4,09510300
-23,27944354;-4,46727300
-23,27444354;-5,58439900
-23,26944354;-5,39800700
-23,26444354;-6,14296200
-23,25944354;-6,14296200
-23,25444354;-6,14296200
-23,24944354;-5,21222900
-23,24444354;-4,09510300
-23,23944354;-3,53654000
-23,23444354;-2,23363700
-23,22944354;-1,86146600
-23,22444354;-1,11651100
-23,21944354;-0,93073320
-23,21444354;-0,18577760
-23,20944354;-0,37217020
-23,20444354;-1,30290300
-23,19944354;-1,48868100
-23,19444354;-2,04724400
-23,18944354;-3,35014700
-23,18444354;-3,72293300
-23,17944354;-4,09510300
-23,17444354;-4,83944400
-23,16944354;-5,39800700
-23,16444354;-5,39800700
-23,15944354;-5,77017700
-23,15444354;-5,39800700
-23,14944354;-4,28149600
-23,14444354;-3,53654000
-23,13944354;-2,60580700
-23,13444354;-1,11651100
-23,12944354;0,55794780
-23,12444354;2,23363700
-23,11944354;2,23363700
-23,11444354;3,90871000
-23,10944354;5,39800700
-23,10444354;5,39800700
-23,09944354;5,77017700
-23,09444354;5,95657000
-23,08944354;5,58439900
-23,08444354;5,58439900
-23,07944354;5,02583600
-23,07444355;4,65366600
-23,06944355;3,35014700
-23,06444355;2,79220000
-23,05944355;2,41941400
-23,05444355;1,67507400
-23,04944355;1,11651100
-23,04444355;0,93073320
-23,03944355;1,11651100
-23,03444355;1,67507400
-23,02944355;2,04724400
-23,02444355;2,41941400
-23,01944355;3,16437000
-23,01444355;3,53654000
-23,00944355;4,09510300
-23,00444355;4,28149600
-22,99944355;4,65366600
-22,99444355;5,21222900
-22,98944355;5,39800700
-22,98444355;5,21222900
-22,97944355;5,21222900
-22,97444355;5,21222900
-22,96944355;4,65366600
-22,96444355;4,28149600
-22,95944355;3,90871000
-22,95444355;3,53654000
-22,94944355;3,90871000
-22,94444355;2,97797700
-22,93944355;2,41941400
-22,93444355;2,41941400
-22,92944355;2,04724400
-22,92444355;1,86146600
-22,91944355;2,41941400
-22,91444355;2,04724400
-22,90944355;1,48868100
-22,90444355;1,86146600
-22,89944355;2,04724400
-22,89444355;1,11651100
-22,88944355;0,74434050
-22,88444355;0,55794780
-22,87944355;0,93073320
-22,87444355;0,55794780
-22,86944355;0,55794780
-22,86444355;0,18577760
-22,85944355;0,18577760
-22,85444355;1,11651100
-22,84944355;0,55794780
-22,84444355;0,93073320
-22,83944355;1,11651100
-22,83444355;1,30290300
-22,82944355;1,48868100
-22,82444355;1,48868100
-22,81944355;0,74434050
-22,81444355;1,67507400
-22,80944355;1,11651100
-22,80444355;0,74434050
-22,79944355;0,55794780
-22,79444355;-0,55794780
-22,78944355;-0,18577760
-22,78444355;-0,37217020
-22,77944355;-0,37217020
-22,77444355;-0,74434050
-22,76944355;-0,93073320
-22,76444355;-0,74434050
-22,75944355;-0,37217020
-22,75444355;-0,74434050
-22,74944355;0,00000000
-22,74444355;0,00000000
-22,73944355;0,18577760
-22,73444355;1,11651100
-22,72944355;1,30290300
-22,72444355;1,48868100
-22,71944355;1,48868100
-22,71444355;1,86146600
-22,70944355;2,23363700
-22,70444355;1,48868100
-22,69944355;1,11651100
-22,69444355;0,93073320
-22,68944355;0,00000000
-22,68444355;-1,11651100
-22,67944355;-1,67507400
-22,67444356;-2,97797700
-22,66944356;-4,65366600
